id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent,first_name,last_name,height_inches,weight_pounds,position
3,0,3,152,255,0.0,59.6,Steven,Adams,84,265,5.0
4,2,17,752,1424,11.8,52.8,Bam,Adebayo,82,255,5.0
8,150,396,98,193,37.9,50.8,Grayson,Allen,77,198,1.0
9,2,16,474,734,12.5,64.6,Jarrett,Allen,83,237,5.0
12,38,104,195,378,36.5,51.6,Kyle,Anderson,81,230,3.0
15,62,184,816,1344,33.7,60.7,Giannis,Antetokounmpo,83,242,3.0
18,168,390,289,550,43.1,52.5,OG,Anunoby,80,232,3.0
19,13,31,1,19,41.9,5.3,Ryan,Arcidiacono,75,200,1.0
22,8,22,513,879,36.4,58.4,Deandre,Ayton,85,250,5.0
24,24,60,156,264,40.0,59.1,Marvin,Bagley III,83,234,3.0
28,74,167,89,151,44.3,58.9,Mo,Bamba,84,221,5.0
30,102,318,253,447,32.1,56.6,Harrison,Barnes,80,225,3.0
31,86,191,70,172,45.0,40.7,Will,Barton,78,190,1.0
32,52,152,195,334,34.2,58.4,Keita,Bates-Diop,81,229,3.0
33,150,409,47,84,36.7,56.0,Nicolas,Batum,80,200,3.0
37,52,140,225,427,37.1,52.7,Bradley,Beal,77,207,1.0
38,242,713,164,309,33.9,53.1,Malik,Beasley,77,195,1.0
44,63,118,10,15,53.4,66.7,Davis,Bertans,82,225,3.0
45,77,259,60,127,29.7,47.2,Patrick,Beverley,73,185,1.0
46,2,3,20,39,66.7,51.3,Khem,Birch,81,233,5.0
53,156,415,153,282,37.6,54.3,Bogdan,Bogdanovic,78,205,1.0
54,150,340,268,496,44.1,54.0,Bojan,Bogdanovic,80,216,3.0
57,142,371,508,935,38.3,54.3,Devin,Booker,78,210,1.0
58,67,194,196,342,34.5,57.3,Chris,Boucher,82,200,3.0
60,0,7,1,1,0.0,100.0,Tony,Bradley,82,248,5.0
61,193,512,503,991,37.7,50.8,Mikal,Bridges,79,210,3.0
65,146,334,249,477,43.7,52.2,Malcolm,Brogdon,77,229,1.0
66,129,447,258,567,28.9,45.5,Dillon,Brooks,78,220,1.0
68,129,340,86,189,37.9,45.5,Troy,Brown Jr.,79,215,3.0
69,114,296,290,536,38.5,54.1,Bruce,Brown,77,202,1.0
70,184,589,651,1135,31.2,57.4,Jaylen,Brown,79,220,1.0
