id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent
3,0,3,152,255,0.0,59.6
4,2,17,752,1424,11.8,52.8
8,150,396,98,193,37.9,50.8
9,2,16,474,734,12.5,64.6
12,38,104,195,378,36.5,51.6
15,62,184,816,1344,33.7,60.7
16,0,0,0,0,,
18,168,390,289,550,43.1,52.5
19,13,31,1,19,41.9,5.3
21,0,0,0,0,,
22,8,22,513,879,36.4,58.4
24,24,60,156,264,40.0,59.1
27,0,0,0,0,,
28,74,167,89,151,44.3,58.9
30,102,318,253,447,32.1,56.6
31,86,191,70,172,45.0,40.7
32,52,152,195,334,34.2,58.4
33,150,409,47,84,36.7,56.0
37,52,140,225,427,37.1,52.7
38,242,713,164,309,33.9,53.1
44,63,118,10,15,53.4,66.7
45,77,259,60,127,29.7,47.2
46,2,3,20,39,66.7,51.3
48,0,0,171,305,,56.1
53,156,415,153,282,37.6,54.3
54,150,340,268,496,44.1,54.0
57,142,371,508,935,38.3,54.3
58,67,194,196,342,34.5,57.3
60,0,7,1,1,0.0,100.0
61,193,512,503,991,37.7,50.8
65,146,334,249,477,43.7,52.2
66,129,447,258,567,28.9,45.5
68,129,340,86,189,37.9,45.5
69,114,296,290,536,38.5,54.1
70,184,589,651,1135,31.2,57.4
72,0,3,0,2,0.0,0.0
73,195,465,628,1175,41.9,53.4
74,27,56,217,338,48.2,64.2
75,168,382,34,76,44.0,44.7
77,82,205,83,166,40.0,50.0
78,0,0,0,4,,0.0
79,51,139,526,945,36.7,55.7
81,212,483,199,445,43.9,44.7
83,0,2,347,525,0.0,66.1
85,78,254,271,426,30.7,63.6
86,1,2,6,12,50.0,50.0
87,123,309,109,243,39.8,44.9
89,62,188,78,140,33.0,55.7
91,0,0,0,0,,
100,176,473,293,532,37.2,55.1
101,82,250,335,537,32.8,62.4
102,49,121,218,364,40.5,59.9
104,172,429,136,306,40.1,44.4
105,140,415,67,123,33.7,54.5
108,66,152,61,130,43.4,46.9
110,86,244,143,251,35.2,57.0
112,33,77,26,60,42.9,43.3
114,100,261,142,260,38.3,54.6
115,326,775,350,630,42.1,55.6
117,20,97,686,1200,20.6,57.2
120,10,40,48,94,25.0,51.1
123,10,31,12,30,32.3,40.0
125,29,116,605,1164,25.0,52.0
128,3,23,188,303,13.0,62.0
129,11,61,24,45,18.0,53.3
130,193,498,302,588,38.8,51.4
131,155,393,92,172,39.4,53.5
132,206,569,535,916,36.2,58.4
133,2,2,6,6,100.0,100.0
